ticker,name,market,security_type,ohlcv_rows,trade_dates,min_date,max_date,has_krx
000020,동화약품,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000030,우리은행,KOSPI,,668,668,2016-05-20,2019-02-12,t
000040,KR모터스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000050,경방,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000060,메리츠화재,KOSPI,,1663,1663,2016-05-20,2023-02-20,t
000070,삼양홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000075,삼양홀딩스우,KOSPI,,2271,2271,2016-05-20,2025-08-19,t
000080,하이트진로,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000087,하이트진로2우B,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000100,유한양행,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000105,유한양행우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000120,CJ대한통운,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000140,하이트진로홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000145,하이트진로홀딩스우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000150,두산,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000155,두산우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000157,두산2우B,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000180,성창기업지주,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
0001A0,덕양에너젠,KOSDAQ,,73,73,2026-01-30,2026-05-20,t
000210,DL,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000215,DL우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000220,유유제약,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000225,유유제약1우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000227,유유제약2우B,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000230,일동홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000240,한국앤컴퍼니,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000250,삼천당제약,KOSDAQ,,2453,2453,2016-05-20,2026-05-20,t
000270,기아,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000300,DH오토넥스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000320,노루홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000325,노루홀딩스우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000327,노루홀딩스2우B,KOSPI,,338,338,2016-05-20,2017-09-27,t
000370,한화손해보험,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000390,SP삼화,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000400,롯데손해보험,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000430,대원강업,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000440,중앙에너비스,KOSDAQ,,2453,2453,2016-05-20,2026-05-20,t
000480,CR홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000490,대동,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
0004V0,엔비알모션,KOSDAQ,,85,85,2026-01-14,2026-05-20,t
0004Y0,디비금융제14호스팩,KOSDAQ,,202,202,2025-07-22,2026-05-20,t
000500,가온전선,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000520,삼일제약,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000540,흥국화재,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000545,흥국화재우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000547,흥국화재2우B,KOSPI,,1762,1762,2016-05-20,2023-07-14,t
000590,CS홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000640,동아쏘시오홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000650,천일고속,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000660,SK하이닉스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000670,영풍,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000680,LS네트웍스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000700,유수홀딩스,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000720,현대건설,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000725,현대건설우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000760,이화산업,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
0007C0,아크릴,KOSDAQ,,103,103,2025-12-16,2026-05-20,t
0007J0,인벤테라,KOSDAQ,,33,33,2026-04-02,2026-05-20,t
000810,삼성화재,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000815,삼성화재우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000850,화천기공,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000860,강남제비스코,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000880,한화,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000885,한화우,KOSPI,,2246,2246,2016-05-20,2025-07-14,t
00088K,한화3우B,KOSPI,,2351,2351,2016-10-19,2026-05-20,t
000890,보해양조,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
0008Z0,에스엔시스,KOSDAQ,,183,183,2025-08-19,2026-05-20,t
000910,유니온,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000950,전방,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000970,한국주철관,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000990,DB하이텍,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
000995,DB하이텍1우,KOSPI,,1762,1762,2016-05-20,2023-07-14,t
0009K0,에임드바이오,KOSDAQ,,111,111,2025-12-04,2026-05-20,t
001000,신라섬유,KOSDAQ,,2453,2453,2016-05-20,2026-05-20,t
001020,페이퍼코리아,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
001040,CJ,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
001045,CJ우,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
00104K,CJ4우(전환),KOSPI,,1662,1662,2019-08-09,2026-05-20,t
001060,JW중외제약,KOSPI,,2453,2453,2016-05-20,2026-05-20,t
